ParentLocationCode,ParentLocation,SpatialDimValueCode,Location,Gdp,year,Dim1 type,Dim1,Dim1ValueCode,FactValueNumeric,Value,Level,Language,DateModified,,,pergdp,,,,,,,,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,,FactValueTranslationID,FactComments
AMR,Americas,CHL,Chile,252.251992,2010,Sex,Both sexes,BTSX,78.46,78.46,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,1382.51 ,,,,,,,,,,,,,,,
AMR,Americas,CHL,Chile,243.9190794,2015,Sex,Both sexes,BTSX,79.82,79.82,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,1533.10 ,,,,,,,,,,,,,,,
AMR,Americas,CHL,Chile,279.3854873,2019,Sex,Both sexes,BTSX,80.74,80.74,>80.0,EN,2020-12-03T16:00:00.000Z,,,681.10 ,,,,,,,,,,,,,,,
WPR,Western Pacific,CHN,China,1211.34687,2000,Sex,Both sexes,BTSX,71.58,71.58,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,405.22 ,,,,,,,,,,,,,,,
WPR,Western Pacific,CHN,China,7551.500124,2010,Sex,Both sexes,BTSX,74.89,74.89,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,334.02 ,,,,,,,,,,,,,,,
WPR,Western Pacific,CHN,China,11061.55308,2015,Sex,Both sexes,BTSX,76.64,76.64,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,497.32 ,,,,,,,,,,,,,,,
WPR,Western Pacific,CHN,China,14279.93747,2019,Sex,Both sexes,BTSX,77.43,77.43,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,580.72 ,,,,,,,,,,,,,,,
AMR,Americas,COL,Colombia,334.9438719,2010,Sex,Both sexes,BTSX,77.09,77.09,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,1032.14 ,,,,,,,,,,,,,,,
AMR,Americas,COL,Colombia,293.4817482,2015,Sex,Both sexes,BTSX,78.35,78.35,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,3073.56 ,,,,,,,,,,,,,,,
AMR,Americas,COL,Colombia,323.4298889,2019,Sex,Both sexes,BTSX,79.31,79.31,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,2447.54 ,,,,,,,,,,,,,,,
AMR,Americas,COL,Colombia,99.88657733,2000,Sex,Both sexes,BTSX,73.75,73.75,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,2369.73 ,,,,,,,,,,,,,,,
AFR,Africa,COM,Comoros,1.02308618,2010,Sex,Both sexes,BTSX,64.98,64.98,60.0-69.9,EN,2020-12-03T16:00:00.000Z,,,6336.71 ,,,,,,,,,,,,,,,
AFR,Africa,COM,Comoros,0.96602954,2015,Sex,Both sexes,BTSX,66.45,66.45,60.0-69.9,EN,2020-12-03T16:00:00.000Z,,,6175.88 ,,,,,,,,,,,,,,,
AFR,Africa,COM,Comoros,1.19255974,2019,Sex,Both sexes,BTSX,67.39,67.39,60.0-69.9,EN,2020-12-03T16:00:00.000Z,,,6424.98 ,,,,,,,,,,,,,,,
AFR,Africa,COM,Comoros,0.35113657,2000,Sex,Both sexes,BTSX,61.51,61.51,60.0-69.9,EN,2020-12-03T16:00:00.000Z,,,2520.48 ,,,,,,,,,,,,,,,
AFR,Africa,COG,Congo,3.22792759,2000,Sex,Both sexes,BTSX,52.12,52.12,50.0-59.9,EN,2020-12-03T16:00:00.000Z,,,1316.49 ,,,,,,,,,,,,,,,
AFR,Africa,COG,Congo,15.63489727,2010,Sex,Both sexes,BTSX,60.95,60.95,60.0-69.9,EN,2020-12-03T16:00:00.000Z,,,1242.59 ,,,,,,,,,,,,,,,
AFR,Africa,COG,Congo,11.8854785,2015,Sex,Both sexes,BTSX,63.11,63.11,60.0-69.9,EN,2020-12-03T16:00:00.000Z,,,1401.54 ,,,,,,,,,,,,,,,
AFR,Africa,COG,Congo,12.75033902,2019,Sex,Both sexes,BTSX,64.74,64.74,60.0-69.9,EN,2020-12-03T16:00:00.000Z,,,647.43 ,,,,,,,,,,,,,,,
AMR,Americas,CRI,Costa Rica,42.76261708,2010,Sex,Both sexes,BTSX,79.56,79.56,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,3378.32 ,,,,,,,,,,,,,,,
AMR,Americas,CRI,Costa Rica,56.44191765,2015,Sex,Both sexes,BTSX,80.78,80.78,>80.0,EN,2020-12-03T16:00:00.000Z,,,3043.03 ,,,,,,,,,,,,,,,
AMR,Americas,CRI,Costa Rica,64.07287093,2019,Sex,Both sexes,BTSX,80.85,80.85,>80.0,EN,2020-12-03T16:00:00.000Z,,,3603.78 ,,,,,,,,,,,,,,,
AMR,Americas,CRI,Costa Rica,15.01362966,2000,Sex,Both sexes,BTSX,78,78,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,1259.35 ,,,,,,,,,,,,,,,
EUR,Europe,HRV,Croatia,63.16991082,2010,Sex,Both sexes,BTSX,76.72,76.72,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,8227.13 ,,,,,,,,,,,,,,,
EUR,Europe,HRV,Croatia,50.16319288,2015,Sex,Both sexes,BTSX,77.58,77.58,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,11642.78 ,,,,,,,,,,,,,,,
EUR,Europe,HRV,Croatia,62.24620634,2019,Sex,Both sexes,BTSX,78.64,78.64,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,12693.83 ,,,,,,,,,,,,,,,
EUR,Europe,HRV,Croatia,21.83978097,2000,Sex,Both sexes,BTSX,74.36,74.36,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,3789.05 ,,,,,,,,,,,,,,,
AMR,Americas,CUB,Cuba,30.5654,2000,Sex,Both sexes,BTSX,76.76,76.76,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,2747.10 ,,,,,,,,,,,,,,,
AMR,Americas,CUB,Cuba,68.99,2010,Sex,Both sexes,BTSX,77.65,77.65,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,5730.35 ,,,,,,,,,,,,,,,
AMR,Americas,CUB,Cuba,87.133,2015,Sex,Both sexes,BTSX,77.91,77.91,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,7694.01 ,,,,,,,,,,,,,,,
AMR,Americas,CUB,Cuba,103.428,2019,Sex,Both sexes,BTSX,77.76,77.76,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,9125.88 ,,,,,,,,,,,,,,,
EUR,Europe,CYP,Cyprus,9.98584449,2000,Sex,Both sexes,BTSX,78.75,78.75,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,14388.35 ,,,,,,,,,,,,,,,
EUR,Europe,CYP,Cyprus,27.5654691,2010,Sex,Both sexes,BTSX,81.02,81.02,>80.0,EN,2020-12-03T16:00:00.000Z,,,31023.64 ,,,,,,,,,,,,,,,
EUR,Europe,CYP,Cyprus,19.8424043,2015,Sex,Both sexes,BTSX,82.01,82.01,>80.0,EN,2020-12-03T16:00:00.000Z,,,23408.34 ,,,,,,,,,,,,,,,
EUR,Europe,CYP,Cyprus,25.75835777,2019,Sex,Both sexes,BTSX,83.14,83.14,>80.0,EN,2020-12-03T16:00:00.000Z,,,29206.08 ,,,,,,,,,,,,,,,
EUR,Europe,CZE,Czechia,61.8281665,2000,Sex,Both sexes,BTSX,74.95,74.95,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,6029.04 ,,,,,,,,,,,,,,,
EUR,Europe,CZE,Czechia,229.5627334,2010,Sex,Both sexes,BTSX,77.56,77.56,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,19960.07 ,,,,,,,,,,,,,,,
EUR,Europe,CZE,Czechia,188.0330505,2015,Sex,Both sexes,BTSX,78.46,78.46,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,17829.70 ,,,,,,,,,,,,,,,
EUR,Europe,CZE,Czechia,252.4980323,2019,Sex,Both sexes,BTSX,79.13,79.13,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,23660.15 ,,,,,,,,,,,,,,,
AFR,Africa,CIV,Côte d’Ivoire,16.57753336,2000,Sex,Both sexes,BTSX,50.33,50.33,50.0-59.9,EN,2020-12-03T16:00:00.000Z,,,23635.93 ,,,,,,,,,,,,,,,
AFR,Africa,CIV,Côte d’Ivoire,36.69371282,2010,Sex,Both sexes,BTSX,56.62,56.62,50.0-59.9,EN,2020-12-03T16:00:00.000Z,,,41531.93 ,,,,,,,,,,,,,,,
AFR,Africa,CIV,Côte d’Ivoire,45.81463797,2015,Sex,Both sexes,BTSX,60.2,60.2,60.0-69.9,EN,2020-12-03T16:00:00.000Z,,,41086.73 ,,,,,,,,,,,,,,,
AFR,Africa,CIV,Côte d’Ivoire,58.53942493,2019,Sex,Both sexes,BTSX,62.92,62.92,60.0-69.9,EN,2020-12-03T16:00:00.000Z,,,46794.90 ,,,,,,,,,,,,,,,
SEAR,South-East Asia,PRK,Democratic People's Republic of Korea,..,2010,Sex,Both sexes,BTSX,70.18,70.18,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,768.18 ,,,,,,,,,,,,,,,
SEAR,South-East Asia,PRK,Democratic People's Republic of Korea,..,2015,Sex,Both sexes,BTSX,71.76,71.76,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,1343.28 ,,,,,,,,,,,,,,,
SEAR,South-East Asia,PRK,Democratic People's Republic of Korea,..,2019,Sex,Both sexes,BTSX,72.63,72.63,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,2658.95 ,,,,,,,,,,,,,,,
SEAR,South-East Asia,PRK,Democratic People's Republic of Korea,..,2000,Sex,Both sexes,BTSX,63.95,63.95,60.0-69.9,EN,2020-12-03T16:00:00.000Z,,,3414.92 ,,,,,,,,,,,,,,,
AFR,Africa,COD,Democratic Republic of the Congo,19.08804631,2000,Sex,Both sexes,BTSX,52.44,52.44,50.0-59.9,EN,2020-12-03T16:00:00.000Z,,,30743.55 ,,,,,,,,,,,,,,,
AFR,Africa,COD,Democratic Republic of the Congo,25.8397492,2010,Sex,Both sexes,BTSX,57.51,57.51,50.0-59.9,EN,2020-12-03T16:00:00.000Z,,,58041.40 ,,,,,,,,,,,,,,,
AFR,Africa,COD,Democratic Republic of the Congo,37.9177049,2015,Sex,Both sexes,BTSX,60.44,60.44,60.0-69.9,EN,2020-12-03T16:00:00.000Z,,,53254.86 ,,,,,,,,,,,,,,,
AFR,Africa,COD,Democratic Republic of the Congo,50.40074705,2019,Sex,Both sexes,BTSX,62.35,62.35,60.0-69.9,EN,2020-12-03T16:00:00.000Z,,,59775.74 ,,,,,,,,,,,,,,,
EUR,Europe,DNK,Denmark,164.1587391,2000,Sex,Both sexes,BTSX,76.93,76.93,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,2869.18 ,,,,,,,,,,,,,,,
EUR,Europe,DNK,Denmark,344.0031376,2010,Sex,Both sexes,BTSX,79.17,79.17,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,5555.39 ,,,,,,,,,,,,,,,
EUR,Europe,DNK,Denmark,302.6730709,2015,Sex,Both sexes,BTSX,80.59,80.59,>80.0,EN,2020-12-03T16:00:00.000Z,,,6921.52 ,,,,,,,,,,,,,,,
EUR,Europe,DNK,Denmark,347.5613492,2019,Sex,Both sexes,BTSX,81.32,81.32,>80.0,EN,2020-12-03T16:00:00.000Z,,,8282.12 ,,,,,,,,,,,,,,,
EMR,Eastern Mediterranean,DJI,Djibouti,0.55123086,2000,Sex,Both sexes,BTSX,59.84,59.84,50.0-59.9,EN,2020-12-03T16:00:00.000Z,,,4480.79 ,,,,,,,,,,,,,,,
EMR,Eastern Mediterranean,DJI,Djibouti,1.2391445,2010,Sex,Both sexes,BTSX,61.87,61.87,60.0-69.9,EN,2020-12-03T16:00:00.000Z,,,4177.89 ,,,,,,,,,,,,,,,
EMR,Eastern Mediterranean,DJI,Djibouti,2.43027429,2015,Sex,Both sexes,BTSX,64.64,64.64,60.0-69.9,EN,2020-12-03T16:00:00.000Z,,,3989.67 ,,,,,,,,,,,,,,,
EMR,Eastern Mediterranean,DJI,Djibouti,3.32461555,2019,Sex,Both sexes,BTSX,65.81,65.81,60.0-69.9,EN,2020-12-03T16:00:00.000Z,,,1765.03 ,,,,,,,,,,,,,,,
AMR,Americas,DOM,Dominican Republic,24.30571754,2000,Sex,Both sexes,BTSX,73.22,73.22,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,1445.28 ,,,,,,,,,,,,,,,
AMR,Americas,DOM,Dominican Republic,58.02975075,2010,Sex,Both sexes,BTSX,73.17,73.17,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,4633.59 ,,,,,,,,,,,,,,,
AMR,Americas,DOM,Dominican Republic,71.16482526,2015,Sex,Both sexes,BTSX,71.75,71.75,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,6124.49 ,,,,,,,,,,,,,,,
AMR,Americas,DOM,Dominican Republic,88.94129973,2019,Sex,Both sexes,BTSX,72.84,72.84,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,6222.52 ,,,,,,,,,,,,,,,
AMR,Americas,ECU,Ecuador,18.32776488,2000,Sex,Both sexes,BTSX,74.53,74.53,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,1450.48 ,,,,,,,,,,,,,,,
AMR,Americas,ECU,Ecuador,79.276664,2010,Sex,Both sexes,BTSX,75.02,75.02,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,2645.97 ,,,,,,,,,,,,,,,
AMR,Americas,ECU,Ecuador,99.290381,2015,Sex,Both sexes,BTSX,77.18,77.18,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,3562.93 ,,,,,,,,,,,,,,,
AMR,Americas,ECU,Ecuador,108.108009,2019,Sex,Both sexes,BTSX,78.45,78.45,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,3019.09 ,,,,,,,,,,,,,,,
EMR,Eastern Mediterranean,EGY,Egypt,99.83854396,2000,Sex,Both sexes,BTSX,69.82,69.82,60.0-69.9,EN,2020-12-03T16:00:00.000Z,,,308.13 ,,,,,,,,,,,,,,,
EMR,Eastern Mediterranean,EGY,Egypt,235.989673,2010,Sex,Both sexes,BTSX,70.2,70.2,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,501.36 ,,,,,,,,,,,,,,,
EMR,Eastern Mediterranean,EGY,Egypt,329.3665768,2015,Sex,Both sexes,BTSX,70.49,70.49,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,,,,,,,,,,,,,,,,
EMR,Eastern Mediterranean,EGY,Egypt,303.0808656,2019,Sex,Both sexes,BTSX,71.82,71.82,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,,,,,,,,,,,,,,,,
AMR,Americas,SLV,El Salvador,20.28378,2010,Sex,Both sexes,BTSX,74.5,74.5,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,14713.07 ,,,,,,,,,,,,,,,
AMR,Americas,SLV,El Salvador,23.43824,2015,Sex,Both sexes,BTSX,73.25,73.25,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,30502.72 ,,,,,,,,,,,,,,,
AMR,Americas,SLV,El Salvador,26.89666,2019,Sex,Both sexes,BTSX,75.03,75.03,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,25732.02 ,,,,,,,,,,,,,,,
AMR,Americas,SLV,El Salvador,11.7849277,2000,Sex,Both sexes,BTSX,72.5,72.5,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,29555.32 ,,,,,,,,,,,,,,,
AFR,Africa,GNQ,Equatorial Guinea,21.35734368,2010,Sex,Both sexes,BTSX,59.65,59.65,50.0-59.9,EN,2020-12-03T16:00:00.000Z,,,4070.61 ,,,,,,,,,,,,,,,
AFR,Africa,GNQ,Equatorial Guinea,13.18549688,2015,Sex,Both sexes,BTSX,61.13,61.13,60.0-69.9,EN,2020-12-03T16:00:00.000Z,,,14663.04 ,,,,,,,,,,,,,,,
AFR,Africa,GNQ,Equatorial Guinea,11.41727804,2019,Sex,Both sexes,BTSX,62.19,62.19,60.0-69.9,EN,2020-12-03T16:00:00.000Z,,,17395.04 ,,,,,,,,,,,,,,,
AFR,Africa,GNQ,Equatorial Guinea,1.0459985,2000,Sex,Both sexes,BTSX,54.31,54.31,50.0-59.9,EN,2020-12-03T16:00:00.000Z,,,23397.12 ,,,,,,,,,,,,,,,
AFR,Africa,ERI,Eritrea,0.70637082,2000,Sex,Both sexes,BTSX,54.51,54.51,50.0-59.9,EN,2020-12-03T16:00:00.000Z,,,124.46 ,,,,,,,,,,,,,,,
AFR,Africa,ERI,Eritrea,2.06500163,2010,Sex,Both sexes,BTSX,60.7,60.7,60.0-69.9,EN,2020-12-03T16:00:00.000Z,,,341.55 ,,,,,,,,,,,,,,,
AFR,Africa,ERI,Eritrea,..,2015,Sex,Both sexes,BTSX,62.29,62.29,60.0-69.9,EN,2020-12-03T16:00:00.000Z,,,640.54 ,,,,,,,,,,,,,,,
AFR,Africa,ERI,Eritrea,..,2019,Sex,Both sexes,BTSX,64.08,64.08,60.0-69.9,EN,2020-12-03T16:00:00.000Z,,,855.76 ,,,,,,,,,,,,,,,
EUR,Europe,EST,Estonia,5.68657975,2000,Sex,Both sexes,BTSX,70.94,70.94,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,24285.47 ,,,,,,,,,,,,,,,
EUR,Europe,EST,Estonia,23.18361605,2010,Sex,Both sexes,BTSX,75.87,75.87,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,46459.97 ,,,,,,,,,,,,,,,
EUR,Europe,EST,Estonia,22.88155819,2015,Sex,Both sexes,BTSX,77.6,77.6,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,42784.70 ,,,,,,,,,,,,,,,
EUR,Europe,EST,Estonia,31.04559175,2019,Sex,Both sexes,BTSX,78.88,78.88,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,48628.64 ,,,,,,,,,,,,,,,
AFR,Africa,SWZ,Eswatini,4.82049992,2010,Sex,Both sexes,BTSX,47.43,47.43,<50.0,EN,2020-12-03T16:00:00.000Z,,,2069.32 ,,,,,,,,,,,,,,,
AFR,Africa,SWZ,Eswatini,4.06324567,2015,Sex,Both sexes,BTSX,54.05,54.05,50.0-59.9,EN,2020-12-03T16:00:00.000Z,,,3652.54 ,,,,,,,,,,,,,,,
AFR,Africa,SWZ,Eswatini,4.49567948,2019,Sex,Both sexes,BTSX,57.73,57.73,50.0-59.9,EN,2020-12-03T16:00:00.000Z,,,5390.71 ,,,,,,,,,,,,,,,
AFR,Africa,SWZ,Eswatini,1.73810085,2000,Sex,Both sexes,BTSX,47.05,47.05,<50.0,EN,2020-12-03T16:00:00.000Z,,,6175.89 ,,,,,,,,,,,,,,,
AFR,Africa,ETH,Ethiopia,8.2423921,2000,Sex,Both sexes,BTSX,50.58,50.58,50.0-59.9,EN,2020-12-03T16:00:00.000Z,,,22364.03 ,,,,,,,,,,,,,,,
AFR,Africa,ETH,Ethiopia,31.95276309,2010,Sex,Both sexes,BTSX,62.92,62.92,60.0-69.9,EN,2020-12-03T16:00:00.000Z,,,40638.34 ,,,,,,,,,,,,,,,
AFR,Africa,ETH,Ethiopia,64.58933498,2015,Sex,Both sexes,BTSX,66.82,66.82,60.0-69.9,EN,2020-12-03T16:00:00.000Z,,,36638.18 ,,,,,,,,,,,,,,,
AFR,Africa,ETH,Ethiopia,95.91259063,2019,Sex,Both sexes,BTSX,68.7,68.7,60.0-69.9,EN,2020-12-03T16:00:00.000Z,,,40578.64 ,,,,,,,,,,,,,,,
WPR,Western Pacific,FJI,Fiji,1.67823922,2000,Sex,Both sexes,BTSX,65.9,65.9,60.0-69.9,EN,2020-12-03T16:00:00.000Z,,,2171.89 ,,,,,,,,,,,,,,,
WPR,Western Pacific,FJI,Fiji,3.77453062,2010,Sex,Both sexes,BTSX,67.6,67.6,60.0-69.9,EN,2020-12-03T16:00:00.000Z,,,2885.31 ,,,,,,,,,,,,,,,
WPR,Western Pacific,FJI,Fiji,4.68254686,2015,Sex,Both sexes,BTSX,67.83,67.83,60.0-69.9,EN,2020-12-03T16:00:00.000Z,,,2906.62 ,,,,,,,,,,,,,,,
WPR,Western Pacific,FJI,Fiji,5.49626477,2019,Sex,Both sexes,BTSX,68.01,68.01,60.0-69.9,EN,2020-12-03T16:00:00.000Z,,,3585.39 ,,,,,,,,,,,,,,,
EUR,Europe,FIN,Finland,125.7066519,2000,Sex,Both sexes,BTSX,77.6,77.6,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,4135.99 ,,,,,,,,,,,,,,,
EUR,Europe,FIN,Finland,275.2436978,2010,Sex,Both sexes,BTSX,79.88,79.88,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,8849.32 ,,,,,,,,,,,,,,,
EUR,Europe,FIN,Finland,234.440081,2015,Sex,Both sexes,BTSX,81.21,81.21,>80.0,EN,2020-12-03T16:00:00.000Z,,,7384.70 ,,,,,,,,,,,,,,,
EUR,Europe,FIN,Finland,268.5082001,2019,Sex,Both sexes,BTSX,81.61,81.61,>80.0,EN,2020-12-03T16:00:00.000Z,,,7767.00 ,,,,,,,,,,,,,,,
EUR,Europe,FRA,France,1362.24894,2000,Sex,Both sexes,BTSX,78.91,78.91,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,28223.07 ,,,,,,,,,,,,,,,
EUR,Europe,FRA,France,2861.40817,2010,Sex,Both sexes,BTSX,81.22,81.22,>80.0,EN,2020-12-03T16:00:00.000Z,,,39688.61 ,,,,,,,,,,,,,,,
EUR,Europe,FRA,France,2438.207896,2015,Sex,Both sexes,BTSX,81.91,81.91,>80.0,EN,2020-12-03T16:00:00.000Z,,,45404.57 ,,,,,,,,,,,,,,,
EUR,Europe,FRA,France,2728.870247,2019,Sex,Both sexes,BTSX,82.48,82.48,>80.0,EN,2020-12-03T16:00:00.000Z,,,43070.50 ,,,,,,,,,,,,,,,
AFR,Africa,GAB,Gabon,5.08048346,2000,Sex,Both sexes,BTSX,58.1,58.1,50.0-59.9,EN,2020-12-03T16:00:00.000Z,,,749.91 ,,,,,,,,,,,,,,,
AFR,Africa,GAB,Gabon,18.21030875,2010,Sex,Both sexes,BTSX,62.16,62.16,60.0-69.9,EN,2020-12-03T16:00:00.000Z,,,3233.30 ,,,,,,,,,,,,,,,
AFR,Africa,GAB,Gabon,14.38310771,2015,Sex,Both sexes,BTSX,64.93,64.93,60.0-69.9,EN,2020-12-03T16:00:00.000Z,,,4014.19 ,,,,,,,,,,,,,,,
AFR,Africa,GAB,Gabon,16.87440584,2019,Sex,Both sexes,BTSX,66.47,66.47,60.0-69.9,EN,2020-12-03T16:00:00.000Z,,,4697.98 ,,,,,,,,,,,,,,,
AFR,Africa,GMB,Gambia,1.40969455,2010,Sex,Both sexes,BTSX,62.42,62.42,60.0-69.9,EN,2020-12-03T16:00:00.000Z,,,258.47 ,,,,,,,,,,,,,,,
AFR,Africa,GMB,Gambia,1.37817687,2015,Sex,Both sexes,BTSX,64.14,64.14,60.0-69.9,EN,2020-12-03T16:00:00.000Z,,,1299.35 ,,,,,,,,,,,,,,,
AFR,Africa,GMB,Gambia,1.8125291,2019,Sex,Both sexes,BTSX,65.47,65.47,60.0-69.9,EN,2020-12-03T16:00:00.000Z,,,1774.07 ,,,,,,,,,,,,,,,
AFR,Africa,GMB,Gambia,0.7829154,2000,Sex,Both sexes,BTSX,59.24,59.24,50.0-59.9,EN,2020-12-03T16:00:00.000Z,,,2246.63 ,,,,,,,,,,,,,,,
EUR,Europe,GEO,Georgia,3.05747534,2000,Sex,Both sexes,BTSX,69.41,69.41,60.0-69.9,EN,2020-12-03T16:00:00.000Z,,,363.48 ,,,,,,,,,,,,,,,
EUR,Europe,GEO,Georgia,15.10744145,2010,Sex,Both sexes,BTSX,71.87,71.87,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,672.42 ,,,,,,,,,,,,,,,
EUR,Europe,GEO,Georgia,14.95395056,2015,Sex,Both sexes,BTSX,72.58,72.58,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,769.26 ,,,,,,,,,,,,,,,
EUR,Europe,GEO,Georgia,17.47725556,2019,Sex,Both sexes,BTSX,73.28,73.28,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,1058.14 ,,,,,,,,,,,,,,,
EUR,Europe,DEU,Germany,1943.145384,2000,Sex,Both sexes,BTSX,78.09,78.09,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,860.64 ,,,,,,,,,,,,,,,
EUR,Europe,DEU,Germany,3744.408603,2010,Sex,Both sexes,BTSX,80.17,80.17,>80.0,EN,2020-12-03T16:00:00.000Z,,,660.72 ,,,,,,,,,,,,,,,
EUR,Europe,DEU,Germany,3356.235704,2015,Sex,Both sexes,BTSX,80.42,80.42,>80.0,EN,2020-12-03T16:00:00.000Z,,,772.05 ,,,,,,,,,,,,,,,
EUR,Europe,DEU,Germany,3888.326789,2019,Sex,Both sexes,BTSX,81.72,81.72,>80.0,EN,2020-12-03T16:00:00.000Z,,,594.15 ,,,,,,,,,,,,,,,
AFR,Africa,GHA,Ghana,4.98302441,2000,Sex,Both sexes,BTSX,59.24,59.24,50.0-59.9,EN,2020-12-03T16:00:00.000Z,,,308.91 ,,,,,,,,,,,,,,,
AFR,Africa,GHA,Ghana,39.33731481,2010,Sex,Both sexes,BTSX,62,62,60.0-69.9,EN,2020-12-03T16:00:00.000Z,,,558.17 ,,,,,,,,,,,,,,,
AFR,Africa,GHA,Ghana,49.40656843,2015,Sex,Both sexes,BTSX,64.55,64.55,60.0-69.9,EN,2020-12-03T16:00:00.000Z,,,603.40 ,,,,,,,,,,,,,,,
AFR,Africa,GHA,Ghana,68.33753782,2019,Sex,Both sexes,BTSX,66.28,66.28,60.0-69.9,EN,2020-12-03T16:00:00.000Z,,,749.45 ,,,,,,,,,,,,,,,
EUR,Europe,GRC,Greece,282.6256109,2010,Sex,Both sexes,BTSX,80.1,80.1,>80.0,EN,2020-12-03T16:00:00.000Z,,,17288.84 ,,,,,,,,,,,,,,,
EUR,Europe,GRC,Greece,195.6048467,2015,Sex,Both sexes,BTSX,80.38,80.38,>80.0,EN,2020-12-03T16:00:00.000Z,,,11283.40 ,,,,,,,,,,,,,,,
EUR,Europe,GRC,Greece,205.1441528,2019,Sex,Both sexes,BTSX,81.1,81.1,>80.0,EN,2020-12-03T16:00:00.000Z,,,8419.93 ,,,,,,,,,,,,,,,
EUR,Europe,GRC,Greece,130.1338456,2000,Sex,Both sexes,BTSX,78.17,78.17,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,1725.56 ,,,,,,,,,,,,,,,
AMR,Americas,GRD,Grenada,0.77865593,2010,Sex,Both sexes,BTSX,71.97,71.97,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,26690.61 ,,,,,,,,,,,,,,,
AMR,Americas,GRD,Grenada,0.99700793,2015,Sex,Both sexes,BTSX,72.7,72.7,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,18076.61 ,,,,,,,,,,,,,,,
AMR,Americas,GRD,Grenada,1.21269441,2019,Sex,Both sexes,BTSX,72.88,72.88,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,19133.76 ,,,,,,,,,,,,,,,
AMR,Americas,GRD,Grenada,0.52004437,2000,Sex,Both sexes,BTSX,71.97,71.97,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,12042.95 ,,,,,,,,,,,,,,,
AMR,Americas,GTM,Guatemala,46.87611465,2010,Sex,Both sexes,BTSX,69.3,69.3,60.0-69.9,EN,2020-12-03T16:00:00.000Z,,,7258.17 ,,,,,,,,,,,,,,,
